Laptop_ID,Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price (LKR)
LNK-3573,HP Spectre x360,Used,HP,Spectre x360,AMD Ryzen 3 7320U,8GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",Yes,80500
LNK-3574,Apple MacBook Pro M3,New,Apple,MacBook Pro M3,Apple M2 (8-core),16GB,256GB,SSD NVMe,Apple M2 Integrated,"13.3"" FHD",No,271500
LNK-3575,Gigabyte Aero 14 OLED,Refurbished,Gigabyte,Aero 14 OLED,AMD Ryzen 3 7320U,16GB,2TB,eMMC,Intel Iris Xe Graphics,"13.3"" FHD",No,139500
LNK-3576,Acer Aspire 3,Refurbished,Acer,Aspire 3,Intel Core Ultra 7 155H,16GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"13.3"" FHD",No,258000
LNK-3577,Gigabyte G5 KF,Used,Gigabyte,G5 KF,Intel Core Ultra 7 155H,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4050,"14.0"" QHD 120Hz",No,252500
LNK-3578,Microsoft Surface Laptop 5,Used,Microsoft,Surface Laptop 5,Intel Core Ultra 5 125H,16GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",No,148000
LNK-3579,HP Victus 16,Refurbished,HP,Victus 16,AMD Ryzen 7 7840HS,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"14.0"" FHD",No,319000
LNK-3580,Microsoft Surface Laptop 5,New,Microsoft,Surface Laptop 5,Intel Core i5-13420H,8GB,1TB,SSD NVMe,AMD Radeon Graphics,"14.0"" FHD",No,174500
LNK-3581,Samsung Galaxy Book3,New,Samsung,Galaxy Book3,Intel Core i5-13420H,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"15.6"" FHD 144Hz",No,231000
LNK-3582,Microsoft Surface Laptop Studio 2,Refurbished,Microsoft,Surface Laptop Studio 2,AMD Ryzen 3 7320U,8GB,2TB,SSD SATA,AMD Radeon Graphics,"16.0"" WQXGA 165Hz",Yes,153000
LNK-3583,Apple MacBook Pro M3 Max,New,Apple,MacBook Pro M3 Max,Apple M3 (8-core),16GB,256GB,SSD NVMe,Apple M3 Integrated,"16.0"" WQXGA 165Hz",No,354500
LNK-3584,MSI Katana 17,New,MSI,Katana 17,Intel Core Ultra 7 155H,64GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4050,"17.3"" QHD 240Hz",No,470500
LNK-3585,MSI Cyborg 15,Used,MSI,Cyborg 15,Intel Core i7-14700HX,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" QHD 120Hz",No,446500
LNK-3586,MSI Raider GE78,New,MSI,Raider GE78,Intel Core i7-13620H,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4050,"13.3"" FHD",No,376500
LNK-3587,Lenovo Legion 5 Pro,New,Lenovo,Legion 5 Pro,Intel Core i5-13420H,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" FHD",No,171500
LNK-3588,Lenovo ThinkPad E14,Refurbished,Lenovo,ThinkPad E14,AMD Ryzen 5 7640HS,16GB,256GB,SSD NVMe,AMD Radeon Graphics,"17.3"" QHD 240Hz",No,119500
LNK-3589,Gigabyte G5 KF,New,Gigabyte,G5 KF,Intel Core Ultra 7 155H,64GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,360000
LNK-3590,Microsoft Surface Pro 9,Refurbished,Microsoft,Surface Pro 9,AMD Ryzen 5 7640HS,32GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",No,182000
LNK-3591,Apple MacBook Pro M3 Max,Refurbished,Apple,MacBook Pro M3 Max,Apple M3 Pro (11-core),16GB,512GB,SSD NVMe,Apple M3 Pro Integrated,"16.0"" WQXGA 165Hz",No,291500
LNK-3592,Dell Inspiron 15,Refurbished,Dell,Inspiron 15,Intel Core i7-13620H,16GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,184000
LNK-3593,Microsoft Surface Laptop Studio 2,Used,Microsoft,Surface Laptop Studio 2,AMD Ryzen 7 7840HS,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4070,"13.3"" FHD",Yes,247000
LNK-3594,HP Victus 16,Refurbished,HP,Victus 16,Intel Core Ultra 7 155H,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4060,"16.0"" WQXGA 165Hz",No,415500
LNK-3595,HP Victus 16,Used,HP,Victus 16,AMD Ryzen 9 7945HX,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4080,"17.3"" QHD 240Hz",No,374000
LNK-3596,Microsoft Surface Laptop Studio 2,Used,Microsoft,Surface Laptop Studio 2,AMD Ryzen 5 5500U,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 60Hz",No,108000
LNK-3597,Microsoft Surface Laptop Studio 2,Refurbished,Microsoft,Surface Laptop Studio 2,Intel Core i7-13620H,16GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4060,"13.3"" FHD",Yes,283500
LNK-3598,ASUS ExpertBook B1,Refurbished,ASUS,ExpertBook B1,Intel Core Ultra 7 155H,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4060,"16.0"" UHD+ OLED",No,369000
LNK-3599,HP OMEN 16,Refurbished,HP,OMEN 16,Intel Core i9-14900HX,16GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"13.3"" FHD",No,354000
LNK-3600,Samsung Galaxy Book4 Pro,Used,Samsung,Galaxy Book4 Pro,Intel Core i9-14900HX,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"16.0"" UHD+ OLED",No,469500
LNK-3601,Gigabyte Aorus 15,New,Gigabyte,Aorus 15,Intel Core Ultra 5 125H,32GB,1TB,SSD NVMe,Intel Graphics,"16.0"" UHD+ OLED",No,285000
LNK-3602,Microsoft Surface Laptop Studio 2,Refurbished,Microsoft,Surface Laptop Studio 2,AMD Ryzen 9 7945HX,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" FHD",Yes,651500
LNK-3603,Dell G15 Gaming,Used,Dell,G15 Gaming,Intel Core i9-14900HX,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"17.3"" QHD 240Hz",No,314500
LNK-3604,Dell XPS 13,Used,Dell,XPS 13,Intel Core Ultra 5 125H,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" UHD+ OLED",No,176000
LNK-3605,Lenovo LOQ 15,Used,Lenovo,LOQ 15,Intel Core Ultra 7 155H,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4050,"16.0"" WQXGA 165Hz",No,261500
LNK-3606,Gigabyte Aero 14 OLED,Refurbished,Gigabyte,Aero 14 OLED,Intel Core i5-13420H,64GB,1TB,SSD NVMe,Intel Graphics,"14.0"" FHD",No,205500
LNK-3607,Lenovo ThinkPad X1 Carbon,Used,Lenovo,ThinkPad X1 Carbon,AMD Ryzen 5 5500U,16GB,1TB,SSD NVMe,Intel Graphics,"14.0"" FHD",No,105500
LNK-3608,ASUS ROG Zephyrus G14,New,ASUS,ROG Zephyrus G14,AMD Ryzen 7 7840HS,16GB,256GB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 144Hz",No,212500
LNK-3609,Lenovo Legion 5 Pro,Used,Lenovo,Legion 5 Pro,AMD Ryzen 5 7520U,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 2050,"14.0"" QHD 120Hz",No,141000
LNK-3610,Lenovo LOQ 15,New,Lenovo,LOQ 15,AMD Ryzen 7 7730U,64GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,344000
LNK-3611,Acer Aspire 5,Used,Acer,Aspire 5,Intel Core Ultra 7 155H,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4050,"14.0"" FHD",Yes,244000
LNK-3612,Microsoft Surface Pro 9,Refurbished,Microsoft,Surface Pro 9,Intel Core i9-14900HX,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" QHD 120Hz",Yes,702000
LNK-3613,ASUS ZenBook 14,Used,ASUS,ZenBook 14,Intel Core i5-13420H,64GB,256GB,SSD NVMe,Intel Graphics,"14.0"" QHD 120Hz",No,136500
LNK-3614,Microsoft Surface Laptop 5,Refurbished,Microsoft,Surface Laptop 5,AMD Ryzen 7 7840HS,32GB,512GB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 144Hz",Yes,189500
LNK-3615,Apple MacBook Pro M3,Refurbished,Apple,MacBook Pro M3,Apple M1 (8-core),8GB,512GB,SSD NVMe,Apple M1 Integrated,"14.0"" QHD 120Hz",No,168500
LNK-3616,ASUS ExpertBook B1,New,ASUS,ExpertBook B1,AMD Ryzen 7 7730U,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"14.0"" QHD 120Hz",No,262000
LNK-3617,Apple MacBook Air M3,Refurbished,Apple,MacBook Air M3,Apple M2 (8-core),8GB,256GB,SSD NVMe,Apple M2 Integrated,"13.3"" FHD",No,217000
LNK-3618,Apple MacBook Pro M3,Refurbished,Apple,MacBook Pro M3,Apple M3 Pro (11-core),16GB,512GB,SSD NVMe,Apple M3 Pro Integrated,"13.3"" FHD",No,284500
LNK-3619,Microsoft Surface Pro 9,New,Microsoft,Surface Pro 9,AMD Ryzen 9 7945HX,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 144Hz",Yes,530000
LNK-3620,MSI Thin 15,Used,MSI,Thin 15,AMD Ryzen 5 5500U,32GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"13.3"" FHD",No,146500
LNK-3621,Lenovo LOQ 15,Used,Lenovo,LOQ 15,Intel Core i5-13420H,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" WQXGA 165Hz",Yes,125500
LNK-3622,HP Spectre x360,Used,HP,Spectre x360,Intel Core i5-13420H,16GB,256GB,SSD NVMe,Intel Graphics,"14.0"" QHD 120Hz",No,89500
LNK-3623,Gigabyte Aorus 15,Refurbished,Gigabyte,Aorus 15,Intel Core i5-13420H,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" WQXGA 165Hz",No,180500
LNK-3624,HP OMEN 16,Used,HP,OMEN 16,AMD Ryzen 5 5500U,32GB,256GB,SSD NVMe,Intel Graphics,"15.6"" FHD 60Hz",No,100500
LNK-3625,Apple MacBook Pro M3,New,Apple,MacBook Pro M3,Apple M2 (8-core),16GB,256GB,SSD NVMe,Apple M2 Integrated,"14.0"" QHD 120Hz",No,314000
LNK-3626,Apple MacBook Pro M3 Max,New,Apple,MacBook Pro M3 Max,Apple M3 Pro (11-core),16GB,512GB,SSD NVMe,Apple M3 Pro Integrated,"16.0"" WQXGA 165Hz",No,362000
LNK-3627,Gigabyte Aero 14 OLED,New,Gigabyte,Aero 14 OLED,Intel Core i5-1235U,32GB,512GB,SSD NVMe,AMD Radeon Graphics,"14.0"" QHD 120Hz",No,210000
LNK-3628,HP ProBook 450,Used,HP,ProBook 450,Intel Core i7-13620H,32GB,512GB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 144Hz",No,130000
LNK-3629,Acer Aspire 3,New,Acer,Aspire 3,Intel Core i9-14900HX,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4090,"15.6"" FHD 60Hz",No,859000
LNK-3630,Dell G15 Gaming,Refurbished,Dell,G15 Gaming,Intel Core i7-13700H,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4060,"13.3"" FHD",No,235000
LNK-3631,Dell Inspiron 15,Used,Dell,Inspiron 15,AMD Ryzen 3 7320U,32GB,2TB,eMMC,NVIDIA GeForce RTX 3050,"16.0"" UHD+ OLED",No,143000
LNK-3632,Samsung Galaxy Book3,Used,Samsung,Galaxy Book3,Intel Core i7-13700H,64GB,512GB,SSD NVMe,AMD Radeon Graphics,"14.0"" FHD",No,159000
LNK-3633,Apple MacBook Pro M3 Max,New,Apple,MacBook Pro M3 Max,Apple M3 Pro (11-core),16GB,1TB,SSD NVMe,Apple M3 Pro Integrated,"14.0"" QHD 120Hz",No,399000
LNK-3634,Microsoft Surface Laptop 5,Refurbished,Microsoft,Surface Laptop 5,Intel Core i9-14900HX,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4090,"13.3"" FHD",Yes,575000
LNK-3635,ASUS ROG Zephyrus G14,Refurbished,ASUS,ROG Zephyrus G14,Intel Core i7-13700H,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" UHD+ OLED",No,324000
LNK-3636,Dell XPS 13,Refurbished,Dell,XPS 13,Intel Core i7-14700HX,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4090,"14.0"" QHD 120Hz",No,538000
LNK-3637,MSI Prestige 14,New,MSI,Prestige 14,Intel Core Ultra 5 125H,16GB,256GB,SSD NVMe,Intel Graphics,"16.0"" WQXGA 165Hz",No,215500
LNK-3638,Acer Aspire 5,New,Acer,Aspire 5,AMD Ryzen 7 7730U,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 2050,"17.3"" QHD 240Hz",No,271500
LNK-3639,Dell Latitude 3540,Used,Dell,Latitude 3540,Intel Core i9-14900HX,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4090,"16.0"" UHD+ OLED",No,524500
LNK-3640,Samsung Galaxy Book4 Ultra,Refurbished,Samsung,Galaxy Book4 Ultra,AMD Ryzen 9 7945HX,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"17.3"" QHD 240Hz",No,337500
LNK-3641,Acer TravelMate P2,New,Acer,TravelMate P2,Intel Core i3-1215U,16GB,512GB,eMMC,Intel Iris Xe Graphics,"16.0"" WQXGA 165Hz",No,119500
LNK-3642,Microsoft Surface Laptop Studio 2,Refurbished,Microsoft,Surface Laptop Studio 2,Intel Core i7-13700H,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4060,"16.0"" WQXGA 165Hz",No,291500
LNK-3643,Apple MacBook Air M3,New,Apple,MacBook Air M3,Apple M3 Pro (11-core),16GB,512GB,SSD NVMe,Apple M3 Pro Integrated,"16.0"" WQXGA 165Hz",No,350500
LNK-3644,MSI Raider GE78,Used,MSI,Raider GE78,Intel Core Ultra 5 125H,32GB,512GB,SSD NVMe,Intel Graphics,"14.0"" FHD",No,127500
LNK-3645,Samsung Galaxy Book4 Ultra,New,Samsung,Galaxy Book4 Ultra,AMD Ryzen 5 7640HS,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" UHD+ OLED",No,219000
LNK-3646,ASUS TUF Gaming A15,New,ASUS,TUF Gaming A15,Intel Core Ultra 5 125H,32GB,2TB,SSD NVMe,Intel Graphics,"14.0"" FHD",No,304500
LNK-3647,Microsoft Surface Laptop 5,New,Microsoft,Surface Laptop 5,Intel Core i5-13420H,64GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,239500
LNK-3648,Gigabyte Aero 14 OLED,New,Gigabyte,Aero 14 OLED,AMD Ryzen 5 7520U,8GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",No,193000
LNK-3649,Samsung Galaxy Book4 Ultra,Refurbished,Samsung,Galaxy Book4 Ultra,AMD Ryzen 3 7320U,64GB,512GB,SSD SATA,NVIDIA GeForce RTX 2050,"16.0"" UHD+ OLED",No,193500
LNK-3650,MSI Cyborg 15,New,MSI,Cyborg 15,Intel Core Ultra 5 125H,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"16.0"" WQXGA 165Hz",No,218500
LNK-3651,Apple MacBook Air M3,Used,Apple,MacBook Air M3,Apple M2 (8-core),8GB,512GB,SSD NVMe,Apple M2 Integrated,"16.0"" WQXGA 165Hz",No,155000
LNK-3652,HP Envy x360,New,HP,Envy x360,Intel Core i5-1235U,32GB,256GB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 144Hz",Yes,212500
LNK-3653,Lenovo Yoga 7i,Used,Lenovo,Yoga 7i,AMD Ryzen 5 7520U,8GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" UHD+ OLED",No,98500
LNK-3654,HP ProBook 450,New,HP,ProBook 450,AMD Ryzen 7 7730U,16GB,2TB,SSD NVMe,AMD Radeon Graphics,"13.3"" FHD",No,267500
LNK-3655,ASUS TUF Gaming A15,New,ASUS,TUF Gaming A15,AMD Ryzen 9 7945HX,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4070,"14.0"" QHD 120Hz",No,513000
LNK-3656,Gigabyte Aero 14 OLED,Refurbished,Gigabyte,Aero 14 OLED,Intel Core i5-1235U,16GB,512GB,SSD NVMe,Intel Graphics,"14.0"" FHD",Yes,148500
LNK-3657,Samsung Galaxy Book4 Ultra,Used,Samsung,Galaxy Book4 Ultra,Intel Core Ultra 5 125H,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" WQXGA 165Hz",No,154500
LNK-3658,HP Pavilion 15,New,HP,Pavilion 15,AMD Ryzen 7 7840HS,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4060,"17.3"" QHD 240Hz",No,391000
LNK-3659,HP Spectre x360,Used,HP,Spectre x360,Intel Core i9-14900HX,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" UHD+ OLED",Yes,322000
LNK-3660,ASUS Vivobook 15,Used,ASUS,Vivobook 15,AMD Ryzen 5 5500U,32GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,102000
LNK-3661,Samsung Galaxy Book3,New,Samsung,Galaxy Book3,AMD Ryzen 7 7730U,32GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"13.3"" FHD",No,246000
LNK-3662,Samsung Galaxy Book3,Refurbished,Samsung,Galaxy Book3,Intel Core i5-13420H,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" FHD",No,130500
LNK-3663,Acer Predator Helios 16,New,Acer,Predator Helios 16,AMD Ryzen 7 7730U,64GB,2TB,SSD NVMe,Intel Graphics,"14.0"" QHD 120Hz",No,337500
LNK-3664,Microsoft Surface Laptop Studio 2,Refurbished,Microsoft,Surface Laptop Studio 2,Intel Core i3-1215U,16GB,512GB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 60Hz",No,100000
LNK-3665,Acer Aspire 5,Used,Acer,Aspire 5,Intel Core i9-14900HX,32GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"14.0"" FHD",No,272000
LNK-3666,ASUS ZenBook 14,Refurbished,ASUS,ZenBook 14,AMD Ryzen 5 7640HS,8GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 144Hz",Yes,118000
LNK-3667,Apple MacBook Air M3,Used,Apple,MacBook Air M3,Apple M3 Pro (11-core),16GB,1TB,SSD NVMe,Apple M3 Pro Integrated,"13.3"" FHD",No,197000
LNK-3668,Gigabyte G5 KF,Used,Gigabyte,G5 KF,Intel Core i7-13700H,16GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"17.3"" QHD 240Hz",Yes,143500
LNK-3669,HP ProBook 450,Used,HP,ProBook 450,AMD Ryzen 9 7945HX,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4080,"17.3"" QHD 240Hz",No,445500
LNK-3670,HP Envy x360,Used,HP,Envy x360,AMD Ryzen 9 7945HX,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"15.6"" FHD 60Hz",Yes,317500
LNK-3671,Microsoft Surface Laptop 5,Used,Microsoft,Surface Laptop 5,AMD Ryzen 7 7840HS,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"17.3"" QHD 240Hz",Yes,208500
LNK-3672,Apple MacBook Air M1,Used,Apple,MacBook Air M1,Apple M3 (8-core),16GB,512GB,SSD NVMe,Apple M3 Integrated,"16.0"" WQXGA 165Hz",No,203500
LNK-3673,Samsung Galaxy Book3,Used,Samsung,Galaxy Book3,AMD Ryzen 7 7840HS,16GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4050,"13.3"" FHD",No,184500
LNK-3674,MSI Katana 17,Used,MSI,Katana 17,Intel Core i5-1235U,16GB,256GB,SSD NVMe,AMD Radeon Graphics,"17.3"" QHD 240Hz",No,88000
LNK-3675,Microsoft Surface Laptop 5,Used,Microsoft,Surface Laptop 5,Intel Core i7-13620H,32GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",Yes,145000
LNK-3676,Acer Nitro V 15,Used,Acer,Nitro V 15,Intel Core i9-14900HX,16GB,512GB,SSD NVMe,NVIDIA GeForce RTX 4080,"14.0"" FHD",No,336000
LNK-3677,ASUS Vivobook 15,New,ASUS,Vivobook 15,AMD Ryzen 5 5500U,64GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,316500
LNK-3678,HP EliteBook 840,Refurbished,HP,EliteBook 840,Intel Core i9-14900HX,64GB,1TB,SSD NVMe,NVIDIA GeForce RTX 4070,"13.3"" FHD",No,425500
LNK-3679,Apple MacBook Pro M3,Refurbished,Apple,MacBook Pro M3,Apple M2 (8-core),16GB,512GB,SSD NVMe,Apple M2 Integrated,"14.0"" QHD 120Hz",No,248500
LNK-3680,ASUS Vivobook 15,Used,ASUS,Vivobook 15,AMD Ryzen 7 7730U,64GB,2TB,SSD NVMe,NVIDIA GeForce RTX 3050,"14.0"" QHD 120Hz",No,204500
LNK-3681,Dell Alienware m16,New,Dell,Alienware m16,Intel Core i5-1235U,8GB,2TB,SSD NVMe,Intel Graphics,"13.3"" FHD",No,193500
LNK-3682,Microsoft Surface Pro 9,Refurbished,Microsoft,Surface Pro 9,Intel Core i5-13420H,8GB,512GB,SSD NVMe,AMD Radeon Graphics,"16.0"" UHD+ OLED",Yes,173500
LNK-3683,Apple MacBook Pro M3,Refurbished,Apple,MacBook Pro M3,Apple M3 Max (14-core),32GB,2TB,SSD NVMe,Apple M3 Max Integrated,"13.3"" FHD",No,361000
LNK-3684,ASUS ExpertBook B1,Refurbished,ASUS,ExpertBook B1,AMD Ryzen 7 7730U,64GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"16.0"" UHD+ OLED",No,285500
LNK-3685,MSI Cyborg 15,Refurbished,MSI,Cyborg 15,AMD Ryzen 3 7320U,64GB,256GB,eMMC,AMD Radeon Graphics,"16.0"" UHD+ OLED",No,165000
LNK-3686,ASUS ZenBook 14,Used,ASUS,ZenBook 14,AMD Ryzen 7 7840HS,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4060,"15.6"" FHD 60Hz",No,213000
LNK-3687,ASUS ExpertBook B1,Refurbished,ASUS,ExpertBook B1,AMD Ryzen 3 7320U,16GB,256GB,SSD SATA,Intel Graphics,"14.0"" QHD 120Hz",No,84500
LNK-3688,MSI Modern 14,Used,MSI,Modern 14,AMD Ryzen 9 7945HX,32GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"13.3"" FHD",No,295000
LNK-3689,Samsung Galaxy Book3,Refurbished,Samsung,Galaxy Book3,AMD Ryzen 7 7840HS,16GB,1TB,SSD NVMe,Intel Iris Xe Graphics,"14.0"" QHD 120Hz",No,164000
LNK-3690,Samsung Galaxy Book3,New,Samsung,Galaxy Book3,Intel Core i9-14900HX,8GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4090,"16.0"" UHD+ OLED",No,792000
LNK-3691,Dell XPS 13,New,Dell,XPS 13,Intel Core Ultra 7 155H,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4070,"14.0"" FHD",No,535500
LNK-3692,Gigabyte Aorus 15,Used,Gigabyte,Aorus 15,Intel Core i5-13420H,64GB,256GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 60Hz",No,137500
LNK-3693,Gigabyte Aorus 15,New,Gigabyte,Aorus 15,Intel Core i7-13700H,32GB,2TB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 144Hz",No,286000
LNK-3694,Dell XPS 15,New,Dell,XPS 15,Intel Core i7-13700H,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4050,"16.0"" WQXGA 165Hz",No,286000
LNK-3695,HP OMEN 16,New,HP,OMEN 16,Intel Core i7-13700H,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4050,"17.3"" QHD 240Hz",No,337500
LNK-3696,Lenovo IdeaPad Slim 3,New,Lenovo,IdeaPad Slim 3,AMD Ryzen 5 7520U,16GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 144Hz",No,179000
LNK-3697,MSI Prestige 14,Used,MSI,Prestige 14,Intel Core Ultra 5 125H,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 144Hz",No,130500
LNK-3698,MSI Thin 15,New,MSI,Thin 15,AMD Ryzen 7 7730U,8GB,1TB,SSD NVMe,NVIDIA GeForce RTX 3050,"15.6"" FHD 144Hz",No,204500
LNK-3699,HP OMEN 16,Refurbished,HP,OMEN 16,AMD Ryzen 5 5500U,32GB,512GB,SSD NVMe,NVIDIA GeForce RTX 2050,"16.0"" WQXGA 165Hz",No,141500
LNK-3700,Samsung Galaxy Book3,Used,Samsung,Galaxy Book3,AMD Ryzen 5 7520U,8GB,256GB,SSD NVMe,AMD Radeon Graphics,"15.6"" FHD 144Hz",No,73000
LNK-3701,Lenovo ThinkPad E14,New,Lenovo,ThinkPad E14,AMD Ryzen 5 7520U,32GB,512GB,SSD NVMe,AMD Radeon Graphics,"13.3"" FHD",No,214000
LNK-3702,Apple MacBook Pro M3,New,Apple,MacBook Pro M3,Apple M3 Max (14-core),32GB,2TB,SSD NVMe,Apple M3 Max Integrated,"13.3"" FHD",No,480500
LNK-3703,Gigabyte Aorus 15,New,Gigabyte,Aorus 15,AMD Ryzen 9 7945HX,8GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" WQXGA 165Hz",No,549000
LNK-3704,Acer Aspire 5,Refurbished,Acer,Aspire 5,Intel Core i7-14700HX,32GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4080,"17.3"" QHD 240Hz",No,449000
LNK-3705,Acer Swift Go 14,Refurbished,Acer,Swift Go 14,Intel Core Ultra 7 155H,16GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" UHD+ OLED",No,362000
LNK-3706,MSI Thin 15,Refurbished,MSI,Thin 15,Intel Core i7-13700H,64GB,1TB,SSD NVMe,AMD Radeon Graphics,"16.0"" UHD+ OLED",No,261500
LNK-3707,Apple MacBook Air M2,Refurbished,Apple,MacBook Air M2,Apple M3 Pro (11-core),16GB,512GB,SSD NVMe,Apple M3 Pro Integrated,"16.0"" WQXGA 165Hz",No,270500
LNK-3708,Acer TravelMate P2,Refurbished,Acer,TravelMate P2,Intel Core i3-1215U,8GB,512GB,SSD NVMe,Intel Iris Xe Graphics,"15.6"" FHD 144Hz",Yes,107000
LNK-3709,Acer Nitro V 15,Used,Acer,Nitro V 15,Intel Core i9-14900HX,64GB,256GB,SSD NVMe,NVIDIA GeForce RTX 4070,"16.0"" UHD+ OLED",Yes,321000
LNK-3710,Acer Predator Helios 16,New,Acer,Predator Helios 16,AMD Ryzen 7 7840HS,16GB,2TB,SSD NVMe,NVIDIA GeForce RTX 4060,"16.0"" WQXGA 165Hz",No,409000
LNK-3711,HP ProBook 450,Refurbished,HP,ProBook 450,AMD Ryzen 3 7320U,16GB,256GB,eMMC,NVIDIA GeForce RTX 2050,"13.3"" FHD",No,84000
